playername,playername_original,league,_source_year,split,position,teamname,talent_score,score_percentile,promoted_to_lec,win_rate,games_played,champion_pool_size,dpm_zscore,cspm_zscore,golddiffat15_zscore
nafkelah,Nafkelah,LFL,2024,unknown,mid,Aegis,0.5295756867227677,9.172259507829978,False,0.5714285714285714,7,4,-0.7071067811865476,-0.7071067811865475,-0.7071067811865476
limit,LIMIT,PRM,2024,unknown,sup,SK Gaming Prime,0.5293999108679478,12.222222222222221,False,0.4444444444444444,9,6,-0.1912154508261383,0.4972907948816856,-0.1222780704857839
farfetch,Farfetch,PRM,2026,Winter,sup,Eintracht Frankfurt,0.5290010839493647,12.0,False,0.4444444444444444,9,7,-1.1268630585360164,-0.0477122008026777,-1.314425485737023
simpli,Simpli,PRM,2025,Winter,mid,Unicorns of Love Sexy Edition,0.5264364902554259,8.94854586129754,False,0.2222222222222222,9,7,-1.2207832874356872,-1.2627441467589788,-1.7500781517457222
potent,Potent,LFL2,2024,unknown,top,Joblife,0.5237886275614152,8.240534521158128,False,0.5,6,3,-0.5351019168722921,-0.2173232888345916,0.1037875344900456
zwickl,ZWICKL,PRM,2026,unknown,jng,VfB eSports,0.5229721111689383,11.597374179431071,False,0.25,8,7,-0.2436051225752762,0.2207658397296206,-1.2169797998169658
hesszero,HeSSZero,LVP SL,2024,unknown,top,ZETA,0.5215483531014635,8.017817371937639,False,0.375,8,4,0.707106781186549,0.707106781186539,0.7071067811865475
gordinho,Gordinho,LFL,2026,unknown,sup,Esprit Shōnen,0.5206315484222451,11.777777777777777,False,0.0,12,8,-0.2142924370639058,2.486812808678603,-0.5319461010016607
vespa,Vespa,LFL2,2024,Spring,bot,Zerance,0.5193308643860278,10.964912280701753,False,0.5,6,4,-0.610850276873076,0.7393733386040914,-0.2115325489338693
marcv1,Marcv1,LVP SL,2025,unknown,bot,Nocturne Gale,0.5190966697789348,10.74561403508772,False,0.4,10,8,-0.7071067811865442,-0.7071067811865476,-0.7071067811865475
c0st0m,c0st0m,NLC,2024,Summer,mid,BlueWhites,0.5185694113056942,8.724832214765101,False,0.2,10,8,-0.7538347080966151,-1.5722171501682591,-2.196577538501324
kaymin,Kaymin,PRM,2024,unknown,mid,MOUZ NXT,0.5146586685430502,8.501118568232663,False,0.25,8,6,0.807194919799575,-0.9268532644214122,-0.648909190360351
